source,target,distance_km
116,10590,0.224468
117,17442,0.074794
117,7268,0.093194
117,12014,0.100227
117,17182,0.111195
117,9268,0.124937
118,8356,0.077836
118,6441,0.150084
118,1928,0.151314
118,18231,0.152987
118,7208,0.152987
119,14124,0.078304
119,19085,0.15057
119,19862,0.15057
119,17834,0.174531
119,11848,0.182912
120,1390,0.0
120,7106,0.081947
120,11257,0.213688
120,11664,0.266476
120,6911,0.267054
121,16026,0.033358
121,13118,0.122314
121,17695,0.169187
121,3975,0.186894
121,14142,0.225328
122,15929,0.100672
122,13079,0.151188
122,7088,0.15241
122,17344,0.230501
122,18333,0.374688
123,16505,0.087084
123,14946,0.150152
123,12436,0.156205
123,11689,0.166792
123,11443,0.166792
124,16114,0.011119
124,1119,0.011119
124,13278,0.078301
124,17014,0.082154
124,15334,0.203395
125,125,0.0
125,18402,0.075442
125,6413,0.277327
125,15460,0.301972
125,10280,0.456051
126,12277,0.093418
126,17062,0.169122
126,14610,0.169123
126,6312,0.177912
126,17045,0.277617
127,1846,0.711648
127,13241,1.066713
127,502,1.074216
127,8675,1.155045
127,17925,1.223885
128,4508,0.011119
128,5081,0.011119
128,13706,0.033358
128,15559,0.044478
128,8498,0.044478
129,16740,0.055597
129,2043,0.088956
129,4115,0.093259
129,3444,0.100285
129,3443,0.100285
130,15499,0.151152
130,15527,0.157168
130,10603,0.368146
130,13164,0.389914
130,933,0.462087
131,933,0.194114
131,16610,0.232828
131,3946,0.245369
131,16203,0.288022
131,11623,0.352846
132,1832,0.088956
132,13082,0.14334
132,6648,0.172683
132,16283,0.172684
132,2137,0.17988
133,10673,0.075638
133,11226,0.075638
133,14631,0.087039
133,8899,0.087039
133,682,0.107962
134,8911,0.033358
134,1839,0.044478
134,13640,0.08197
134,10085,0.08197
134,10086,0.08197
135,4133,0.155673
135,17159,0.156323
135,6783,0.227253
135,3390,0.24606
135,8937,0.268169
136,936,0.055597
136,3588,0.075021
136,3669,0.088956
136,8452,0.100075
136,11213,0.143488
137,7793,0.044478
137,15795,0.055597
137,11692,0.116472
137,11629,0.155673
137,2039,0.160318
138,10865,0.075637
138,3017,0.22239
138,14563,0.23415
138,6011,0.249897
138,20367,0.306605
139,2438,0.093401
139,1147,0.151741
139,10292,0.189031
139,16001,0.193629
139,12411,0.23823
140,547,0.548356
140,17226,0.673069
140,4183,0.696086
140,15455,0.705371
140,5087,0.754412
141,9378,0.044478
141,7156,0.078159
141,8904,0.082019
141,1019,0.108041
141,3433,0.133434
142,5696,0.920646
142,3140,0.981226
142,20221,1.089486
142,16042,1.287309
142,2215,1.290382
143,18483,0.152196
143,18257,0.266598
143,17821,0.280756
143,3234,0.304391
143,4935,0.345842
144,2742,0.011119
144,17311,0.022239
144,9621,0.022239
144,11157,0.134042
144,8196,0.151351
145,2460,0.074859
145,6524,0.111195
145,10335,0.21127
145,9389,0.234651
145,1403,0.266479
146,4583,0.0749
146,5057,0.075721
146,19725,0.108021
146,12968,0.111195
146,18854,0.172755
147,11339,0.075372
147,6270,0.116593
147,7513,0.317659
147,5307,0.400302
147,10171,0.448623
148,2179,0.033358
148,2721,0.081962
148,12418,0.088956
148,46,0.100279
148,6778,0.168755
149,42,0.100527
149,5953,0.133434
149,14071,0.200151
149,2546,0.22239
149,12181,0.224254
150,15933,0.093429
150,6189,0.224216
150,10295,0.234723
150,405,0.33254
150,13866,0.335688
151,1646,0.066717
151,9743,0.116604
151,15431,0.144553
151,10866,0.306636
151,12274,0.374685
152,3062,0.08766
152,5276,0.088956
152,4077,0.100782
152,12838,0.239611
152,8098,0.24773
153,12907,0.078384
153,12918,0.093491
153,9368,0.125159
153,10355,0.166792
153,9852,0.189031
154,3041,0.208516
154,2947,0.208519
154,3851,0.226513
154,5420,0.256464
154,3596,0.2871
155,2454,0.081912
155,14613,0.100075
155,7560,0.143378
155,7500,0.193001
155,19666,0.224709
156,7964,0.164126
156,4428,0.166792
156,13442,0.182869
156,6476,0.186682
156,18383,0.186682
157,7251,0.033358
157,4145,0.044478
157,12234,0.093191
157,11161,0.143367
157,2952,0.156053
158,10300,0.116471
158,1269,0.267895
158,12511,0.571342
158,6592,0.913975
158,10665,0.977428
159,4558,0.044478
159,4780,0.078041
159,17108,0.144553
159,2411,0.151255
159,18537,0.159607
160,17980,0.233033
160,4005,0.259397
160,1124,0.262243
160,9289,0.302859
160,926,0.309201
161,9484,0.087222
161,5603,0.116373
161,10717,0.125078
161,11531,0.17281
161,4441,0.193592
162,5810,0.168695
162,14670,0.200151
162,16471,0.245792
162,11930,0.266472
162,8810,0.305971
163,3729,0.075592
163,3931,0.081874
163,6285,0.152955
163,401,0.186351
163,10552,0.224309
164,15762,0.108197
164,13515,0.166792
164,1266,0.174658
164,292,0.177912
164,15024,0.203423
165,6637,0.093685
165,7611,0.100683
165,8406,0.143689
165,17042,0.151218
165,12536,0.203516
166,6007,0.077836
166,18346,0.149895
166,15263,0.200151
166,7845,0.226692
166,7044,0.240995
167,1006,0.150233
167,228,0.153023
167,6273,0.300937
167,4511,0.478138
167,5188,0.543665
168,14219,0.100405
168,11075,0.125081
168,9137,0.172813
168,14658,0.234781
168,441,0.250159
169,169,0.0
169,1290,0.0
169,11444,0.075784
169,15290,0.075784
169,6594,0.087166
170,11402,0.044478
170,11225,0.111195
170,595,0.116352
170,20434,0.225268
170,7042,0.225269
171,2169,0.108065
171,1656,0.122314
171,17617,0.134104
171,9420,0.144553
171,6594,0.150341
172,7233,0.108475
172,8283,0.125394
172,2146,0.181241
172,9063,0.209117
172,13029,0.233509
173,3938,0.055597
173,16999,0.087028
173,2199,0.093202
173,11432,0.143375
173,1051,0.16381
174,246,0.07855
174,3887,0.151082
174,2643,0.164783
174,8967,0.201264
174,5288,0.216649
175,11442,0.077836
175,14808,0.100431
175,12579,0.153795
175,17312,0.153796
175,1909,0.160099
176,11358,0.100252
176,642,0.163855
176,18475,0.166792
176,15726,0.241104
176,397,0.255748
177,18714,0.033358
177,18393,0.100595
177,15508,0.125233
177,14411,0.125233
177,2003,0.169503
178,19975,0.124962
178,6539,0.25582
178,20270,0.261171
178,19729,0.266472
178,9480,0.277362
179,5554,0.074889
179,12738,0.100298
179,1348,0.100298
179,12609,0.244629
179,6437,0.255836
180,3933,0.133434
180,11923,0.151197
180,790,0.154433
180,2038,0.154434
180,17002,0.163033
181,5490,0.0
181,6588,0.07818
181,18421,0.087154
181,5470,0.100075
181,5469,0.100075
182,5222,0.0
182,1696,0.134072
182,1758,0.153483
182,13099,0.20062
182,6652,0.255855
183,12344,0.156237
183,7058,0.166792
183,9124,0.229018
183,5274,0.277176
183,14802,0.299545
184,2282,0.21367
184,15963,0.22412
184,4098,0.224395
184,10024,0.309403
184,8844,0.311346
185,4858,0.033358
185,3777,0.116467
185,3936,0.227984
185,1379,0.232282
185,3032,0.267878
186,13422,0.0934
186,435,0.1501
186,6777,0.1501
186,14846,0.166792
186,8658,0.177912
187,12168,0.143346
187,9287,0.172688
187,4891,0.182776
187,982,0.306346
187,1112,0.306349
188,8450,0.044478
188,17314,0.088956
188,11700,0.143356
188,15649,0.155673
188,15445,0.23401
189,15895,0.0
189,2435,0.100075
189,20338,0.150879
189,19133,0.336008
189,358,0.407056
190,8909,0.108124
190,4169,0.122314
190,13747,0.125089
190,542,0.12509
190,1580,0.172819
191,18920,0.011119
191,20317,0.022239
191,12296,0.022239
191,860,0.044478
191,20110,0.055597
192,16774,1.109573
192,12923,1.233326
192,14248,1.576757
192,14353,1.57703
192,12126,1.577042
193,4251,0.688309
193,15673,0.948252
193,16676,1.037584
193,8634,1.074589
193,10450,1.170679
194,20307,0.077836
194,19655,0.108166
194,1186,0.125125
194,3814,0.125126
194,13988,0.150218
195,4195,0.022239
195,14904,0.277287
195,12543,0.288005
195,20013,0.296794
195,3543,0.306275
196,12063,0.074871
196,6835,0.081967
196,8268,0.174174
196,3646,0.180107
196,3333,0.182827
197,10330,0.108372
197,932,0.172974
197,7611,0.232946
197,18233,0.288032
197,165,0.301822
198,7464,0.078374
198,10824,0.151942
198,9266,0.155673
198,8959,0.200151
198,11471,0.203422
199,17458,0.093415
199,880,0.108138
199,2279,0.150548
199,10975,0.241401
199,853,0.251162
200,200,0.0
200,18853,0.081924
200,9647,0.107969
200,13821,0.14965
200,4887,0.159645
201,12281,0.0821
201,4413,0.108103
201,12554,0.133434
201,11660,0.134134
201,2238,0.153699
202,9384,0.08735
202,9385,0.08735
202,14761,0.313599
202,15505,0.324642
202,13238,0.335771
203,2314,0.081925
203,6371,0.081925
203,11753,0.087047
203,19689,0.124956
203,19688,0.124956
204,5091,0.022239
204,7149,0.044478
204,10326,0.125259
204,7796,0.426537
204,12013,0.471275
205,205,0.0
205,18575,0.0
205,12797,0.0
205,19376,0.08198
205,17249,0.087099
206,7858,0.360496
206,18000,0.511497
206,9495,0.522976
206,12749,0.561596
206,11376,0.59381
207,13363,0.187332
207,15488,0.244629
207,14446,0.257101
207,12223,0.280998
207,17866,0.296877
208,17043,0.134156
208,3577,0.150524
208,9074,0.164272
208,3523,0.193637
208,9256,0.208399
209,15850,0.087316
209,1983,0.23474
209,8037,0.328838
209,6449,0.380607
209,3077,0.394643
210,7588,0.078326
210,979,0.122314
210,1330,0.17457
210,16707,0.177912
210,14485,0.189031
211,17811,0.033358
211,13763,0.078223
211,8095,0.078224
211,3621,0.11635
211,17736,0.116351
212,16791,0.133434
212,5801,0.14963
212,2518,0.155673
212,18167,0.162766
212,7325,0.241086
213,17387,0.044478
213,6390,0.07823
213,2253,0.153068
213,1007,0.15367
213,10097,0.186725
214,8432,0.108276
214,4606,0.111195
214,18109,0.156969
214,17044,0.259414
214,5209,0.481415
215,2701,0.23101
215,19598,0.232374
215,19889,0.30939
215,3340,0.357141
215,5108,0.439724
216,13670,0.133434
216,8667,0.15703
216,14776,0.15703
216,8668,0.15703
216,4267,0.203478
217,12085,0.122314
217,8024,0.172924
217,2042,0.177912
217,11284,0.225869
217,2395,0.251754
218,9961,0.075923
218,6959,0.075923
218,12247,0.075923
218,4504,0.093444
218,13991,0.093444
219,7474,0.022239
219,1192,0.081924
219,7243,0.100075
219,9957,0.122314
219,11492,0.163847
220,308,0.077836
220,14596,0.143697
220,14595,0.143697
220,11070,0.160758
220,15361,0.160759
221,8831,0.125213
221,18460,0.16045
221,10127,0.333924
221,17580,0.363695
221,4273,0.374581
222,10162,0.011119
222,767,0.055597
222,12732,0.066717
222,1209,0.075686
222,13997,0.081961
223,9650,0.078414
223,18937,0.154043
223,2649,0.169336
223,12578,0.232332
223,4520,0.244629
224,18978,0.354892
224,3325,0.501168
224,326,0.527513
224,1463,0.531372
224,14422,0.570756
225,13011,0.066717
225,17997,0.100075
225,3695,0.100674
225,16830,0.18304
225,6146,0.224846
226,2200,0.075024
226,7271,0.134137
226,11152,0.242012
226,2789,0.324324
226,14770,0.459241
227,13207,0.193089
227,10314,0.208372
227,11981,0.22512
227,11539,0.231885
227,1679,0.301227
228,167,0.153023
228,1006,0.16281
228,6273,0.164001
228,4511,0.352749
228,5188,0.396325
229,16007,0.151095
229,9277,0.618772
229,7787,0.711877
229,15704,1.188182
229,15971,1.199582
230,4698,0.143456
230,13233,0.16892
230,7144,0.22734
230,11374,0.250866
230,6032,0.255988
231,16686,0.232378
231,8104,0.306326
231,14914,0.374724
231,4820,0.389913
231,8217,0.4139
232,4046,0.075354
232,2189,0.093645
232,11309,0.154356
232,7918,0.183024
232,9125,0.235703
233,17199,0.100075
233,11746,0.150766
233,3476,0.226423
233,12672,0.227241
233,17891,0.366071
234,9519,0.087264
234,5588,0.153106
234,9512,0.156606
234,943,0.160119
234,15622,0.16431
235,3497,0.022239
235,6358,0.075696
235,13630,0.100286
235,4945,0.14975
235,872,0.163938
236,605,0.075376
236,15406,0.100075
236,11717,0.134335
236,14705,0.251988
236,7843,0.266624
237,3323,0.163925
237,1305,0.177912
237,18158,0.186506
237,8536,0.193022
237,123,0.193023
238,15118,0.033358
238,1165,0.075397
238,17348,0.125299
238,11338,0.134346
238,15956,0.134347
239,7759,0.044478
239,4129,0.055597
239,519,0.055597
239,18655,0.066717
239,19519,0.066717
240,13023,0.082485
240,5804,0.224909
240,4342,0.24186
240,19324,0.262725
240,2534,0.298787
241,15163,0.0
241,1104,0.074858
241,12892,0.077836
241,2711,0.087075
241,2425,0.172736
242,4623,0.116556
242,4633,0.1343
242,17941,0.151038
242,1201,0.160561
242,8010,0.166792
243,5221,0.16295
243,14766,0.169371
243,13401,0.289107
243,8524,0.301614
243,15860,0.355827
244,7696,0.15199
244,15205,0.15199
244,1536,0.287261
244,2480,0.349401
244,7874,0.546147
245,16877,0.055597
245,13453,0.077836
245,1914,0.093412
245,6021,0.125099
245,4123,0.15054
246,174,0.07855
246,3887,0.082391
246,2643,0.116571
246,8967,0.172944
246,5288,0.193205
247,17829,0.100075
247,638,0.124963
247,7113,0.124964
247,2778,0.15009
247,14602,0.180052
248,12435,0.011119
248,6407,0.044478
248,6967,0.055597
248,4637,0.077836
248,15337,0.078307
249,1584,0.075975
249,6272,0.150725
249,12465,0.160267
249,17204,0.193136
249,15184,0.255913
250,7504,0.066717
250,13436,0.116485
250,6180,0.154061
250,5251,0.193861
250,2983,0.21127
251,251,0.0
251,16373,0.149657
251,18708,0.149657
251,3585,0.151301
251,16662,0.163854
252,11027,0.022239
252,17435,0.078158
252,13959,0.093301
252,900,0.151495
252,4603,0.153523
253,13007,0.044478
253,13008,0.044478
253,5758,0.116505
253,12485,0.203453
253,16040,0.294406
254,2135,0.168917
254,4,0.216119
254,5446,0.224262
254,16679,0.227331
254,12721,0.231641
255,12123,0.066717
255,1427,0.087183
255,10837,0.087183
255,5156,0.093348
255,18730,0.093348
256,17341,0.641473
256,11484,1.082999
256,3789,1.151461
256,18898,1.215979
256,1609,1.29853
257,2094,0.10827
257,15629,0.172911
257,18196,0.225776
257,12573,0.233509
257,6668,0.255748
258,20014,0.075864
258,19742,0.07827
258,649,0.116383
258,15610,0.1505
258,6883,0.160055
259,7923,0.075685
259,11244,0.09325
259,19766,0.15137
259,13286,0.156195
259,15082,0.159718
260,15388,0.078621
260,4774,0.078621
260,9595,0.100075
260,17315,0.100686
260,8863,0.163041
261,17690,0.011119
261,2040,0.08192
261,4243,0.174086
261,12430,0.200493
261,19570,0.234165
262,16176,0.144553
262,17849,0.180933
262,3111,0.341994
262,749,0.361864
262,8886,0.378321
263,12569,0.082189
263,9968,0.200151
263,7976,0.200151
263,2140,0.200933
263,3573,0.2278
264,264,0.0
264,6174,0.081986
264,3611,0.124997
264,5665,0.193383
264,11023,0.231454
265,7248,0.22427
265,9778,0.251632
265,1795,0.306373
265,6915,0.316109
265,8755,0.39918
266,16084,0.174684
266,16162,0.232924
266,5035,0.298719
266,7131,0.316716
266,10743,0.380696
267,13672,0.100191
267,8527,0.124909
267,9684,0.155969
267,4298,0.182775
267,17146,0.203273
268,7987,0.683192
268,6195,0.811723
268,7350,0.832945
268,4553,0.868835
268,14396,1.05499
269,2392,0.044478
269,4806,0.07507
269,1136,0.100432
269,8423,0.134163
269,17686,0.155673
270,12293,0.18299
270,18084,0.287478
270,11175,0.338954
270,9462,0.345833
270,7384,0.380441
271,14291,0.15389
271,2562,0.174591
271,13953,0.266868
271,644,0.277238
271,9517,0.294129
272,16456,0.077836
272,3787,0.153001
272,16246,0.155673
272,16076,0.168748
272,17451,0.289107
273,18631,0.144553
273,13769,0.179931
273,19050,0.245187
273,14691,0.298618
273,7096,0.33715
274,15231,0.044478
274,16435,0.087444
274,15400,0.153209
274,15799,0.193186
274,1064,0.22239
275,13210,0.077993
275,966,0.10792
275,11876,0.16372
275,11575,0.224539
275,9360,0.228631
276,2874,0.093205
276,7560,0.193
276,14613,0.200151
276,2894,0.234127
276,15383,0.255811
277,2361,0.156564
277,1349,0.186809
277,17756,0.225443
277,2906,0.241383
277,5394,0.303501
278,11093,0.17443
278,9141,0.303358
278,14620,0.312986
278,3484,0.312986
278,10202,0.354653
279,4328,0.033358
279,2175,0.144553
279,6179,0.144553
279,1762,0.156886
279,13110,0.180693
280,12081,0.122314
280,2500,0.151278
280,9102,0.172718
280,9290,0.203299
280,10112,0.241086
281,19255,0.250551
281,14340,0.34199
281,7885,0.379414
281,64,0.438157
