bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,house_age,renovation_age,is_renovated,total_rooms,living_ratio,basement_ratio
5,3.25,2440,15815,2.0,0,0,3,8,1990,450,2014,0,98155,47.774,-122.28,2500,14201,12,0,0,8.25,0.1542839076825798,0.1844262295081967
3,2.75,1960,6390,1.5,0,2,5,8,1960,0,1900,0,98122,47.6032,-122.285,2440,5870,126,0,0,5.75,0.3067292644757433,0.0
3,1.0,1360,9310,1.0,0,0,4,7,1020,340,1980,0,98056,47.4901,-122.185,1480,8330,46,0,0,4.0,0.1460794844253491,0.25
3,1.0,1340,7000,1.0,0,0,4,7,1340,0,1978,0,98042,47.3742,-122.149,1850,7904,48,0,0,4.0,0.1914285714285714,0.0
3,1.5,1450,7316,1.0,0,0,3,7,1450,0,1961,0,98133,47.7725,-122.349,1440,7316,65,0,0,4.5,0.1981957353745216,0.0
4,2.5,3560,11119,1.0,0,2,3,10,2290,1270,1986,0,98004,47.6456,-122.19,3290,11385,40,0,0,6.5,0.3201726773990467,0.3567415730337078
4,3.5,5270,53428,2.0,0,0,3,10,3440,1830,2004,0,98058,47.4358,-122.085,2340,30904,22,0,0,7.5,0.0986374185820169,0.3472485768500948
3,2.5,2500,21780,1.0,0,0,3,8,1770,730,1986,0,98092,47.3282,-122.198,2670,23400,40,0,0,5.5,0.1147842056932966,0.292
3,2.5,2110,4549,2.0,0,0,4,8,2110,0,1989,0,98042,47.3885,-122.154,2110,4030,37,0,0,5.5,0.4638382061991646,0.0
3,1.75,2260,11781,1.0,0,0,4,8,1520,740,1968,0,98008,47.5982,-122.128,2530,10176,58,0,0,4.75,0.1918343094813683,0.3274336283185841
2,1.0,940,8384,1.0,0,0,3,5,940,0,1947,0,98146,47.5065,-122.364,1290,8384,79,0,0,3.0,0.112118320610687,0.0
4,2.0,2020,6867,1.0,0,0,5,8,1010,1010,1942,0,98115,47.7,-122.292,1250,6842,84,0,0,6.0,0.2941604776467161,0.5
3,1.75,1330,16000,1.0,0,0,3,7,1330,0,1978,0,98001,47.28,-122.257,1330,14374,48,0,0,4.75,0.083125,0.0
4,2.25,2160,8119,1.0,0,0,3,8,1080,1080,1966,0,98006,47.5443,-122.177,1850,9000,60,0,0,6.25,0.2660426160857248,0.5
4,2.5,2280,8798,2.0,0,0,4,8,2280,0,1987,0,98028,47.7471,-122.247,2180,8632,39,0,0,6.5,0.2591498067742668,0.0
3,1.75,1690,8190,1.0,0,0,4,8,1690,0,1958,0,98005,47.5857,-122.172,1840,8705,68,0,0,4.75,0.2063492063492063,0.0
3,1.75,1100,7224,1.0,0,0,3,7,1100,0,1981,0,98032,47.3717,-122.277,1700,8447,45,0,0,4.75,0.1522702104097452,0.0
4,2.5,2160,9750,2.0,0,0,3,8,2160,0,1983,0,98028,47.7438,-122.246,2840,10535,43,0,0,6.5,0.2215384615384615,0.0
3,2.5,1690,4584,2.0,0,0,3,7,1690,0,2002,0,98053,47.6866,-122.043,1600,3164,24,0,0,5.5,0.3686736474694589,0.0
3,2.0,1824,7120,1.0,0,0,3,9,1824,0,2010,0,98001,47.3457,-122.27,2409,6264,16,0,0,5.0,0.2561797752808988,0.0
4,2.5,1252,25002,1.0,0,0,3,8,992,260,1996,0,98001,47.3216,-122.291,1860,25002,30,0,0,6.5,0.0500759939204863,0.2076677316293929
5,3.5,4510,16305,2.0,0,0,3,10,2820,1690,2003,0,98074,47.6346,-122.011,4330,18741,23,0,0,8.5,0.2766022692425636,0.3747228381374722
2,1.0,1010,11919,1.0,0,0,3,6,1010,0,1947,0,98155,47.7461,-122.322,1220,11240,79,0,0,3.0,0.0847386525715244,0.0
4,2.5,2260,13755,1.0,0,0,4,9,2260,0,1975,0,98042,47.3767,-122.161,2650,13650,51,0,0,6.5,0.1643038894947291,0.0
3,1.0,1280,2580,1.5,0,0,3,8,1280,0,1910,2014,98115,47.6727,-122.32,1410,3150,116,12,1,4.0,0.4961240310077519,0.0
3,3.5,1370,1764,2.0,0,0,3,8,1180,190,2000,0,98119,47.6511,-122.368,1400,1398,26,0,0,6.5,0.7766439909297053,0.1386861313868613
3,1.0,930,7590,1.0,0,0,3,6,820,110,1943,0,98166,47.4802,-122.335,1220,7590,83,0,0,4.0,0.1225296442687747,0.1182795698924731
3,1.75,1628,286355,1.0,0,0,3,7,1628,0,1996,0,98092,47.2558,-122.122,1490,216344,30,0,0,4.75,0.0056852508250248,0.0
3,2.5,2200,9696,2.0,0,0,3,8,2200,0,1987,0,98031,47.4197,-122.205,2200,9915,39,0,0,5.5,0.2268976897689769,0.0
5,3.5,3290,5600,2.0,0,0,3,9,2670,620,2004,0,98052,47.7056,-122.119,3130,5600,22,0,0,8.5,0.5875,0.1884498480243161
4,2.25,2240,5000,2.0,0,0,3,8,1770,470,1900,2014,98122,47.6027,-122.295,2120,5000,126,12,1,6.25,0.448,0.2098214285714285
4,2.0,1640,7200,1.0,0,0,5,6,820,820,1944,0,98166,47.4791,-122.347,1640,8200,82,0,0,6.0,0.2277777777777777,0.5
3,2.25,2380,6000,2.0,0,0,5,9,1650,730,1931,0,98199,47.6472,-122.393,2000,6000,95,0,0,5.25,0.3966666666666666,0.3067226890756303
4,1.75,1590,10523,2.0,0,0,4,7,1590,0,1922,0,98133,47.7358,-122.342,1610,8568,104,0,0,5.75,0.1510975957426589,0.0
3,2.25,2260,13209,1.0,0,0,3,9,2260,0,1977,0,98005,47.6385,-122.167,2820,12534,49,0,0,5.25,0.1710954652131122,0.0
3,1.0,1000,8470,1.0,0,0,4,6,1000,0,1963,0,98023,47.3056,-122.37,1020,8470,63,0,0,4.0,0.1180637544273908,0.0
3,2.25,2010,7447,2.0,0,0,3,8,2010,0,1985,0,98028,47.747,-122.248,2230,7846,41,0,0,5.25,0.2699073452396938,0.0
3,1.75,1680,10685,1.0,0,0,4,7,1680,0,1966,0,98033,47.6556,-122.193,3340,10390,60,0,0,4.75,0.1572297613476836,0.0
4,2.5,1830,8601,2.0,0,0,3,7,1830,0,2003,0,98038,47.3576,-122.016,1830,5184,23,0,0,6.5,0.2127659574468085,0.0
3,1.75,1480,2211,2.0,0,0,3,7,1480,0,1995,0,98103,47.6966,-122.35,1480,2197,31,0,0,4.75,0.6693803708729081,0.0
3,2.0,2700,6120,1.0,0,0,4,8,1350,1350,1962,0,98115,47.6731,-122.327,1700,4590,64,0,0,5.0,0.4411764705882353,0.5
4,2.0,1690,8208,1.0,0,0,4,7,1210,480,1958,0,98008,47.6052,-122.126,1620,8496,68,0,0,6.0,0.205896686159844,0.2840236686390532
2,2.5,980,1010,3.0,0,0,3,8,980,0,2008,0,98117,47.6844,-122.387,980,1023,18,0,0,4.5,0.9702970297029704,0.0
4,2.0,1650,9305,1.0,0,0,4,6,1650,0,1960,0,98034,47.7183,-122.213,1860,7486,66,0,0,6.0,0.1773240193444384,0.0
5,1.75,2640,7722,1.5,0,0,4,7,1650,990,1915,0,98117,47.6802,-122.361,1750,4000,111,0,0,6.75,0.3418803418803419,0.375
4,2.75,1910,7700,1.0,0,0,4,7,1000,910,1980,0,98030,47.369,-122.17,1880,7875,46,0,0,6.75,0.248051948051948,0.4764397905759162
3,2.5,1820,1855,2.0,0,0,3,8,1570,250,2008,0,98166,47.4643,-122.346,1470,6900,18,0,0,5.5,0.981132075471698,0.1373626373626373
3,1.75,1660,10000,1.0,0,0,3,7,1660,0,1972,0,98019,47.741,-121.978,1770,10000,54,0,0,4.75,0.166,0.0
3,2.5,1940,3211,2.0,0,0,3,8,1940,0,2009,0,98027,47.5644,-122.093,1880,3078,17,0,0,5.5,0.6041731547804422,0.0
3,2.5,1960,3480,2.0,0,0,3,7,1960,0,2004,0,98056,47.4802,-122.18,2560,3500,22,0,0,5.5,0.5632183908045977,0.0
3,2.0,1960,13100,1.0,0,2,5,8,1650,310,1957,0,98166,47.4419,-122.34,1960,10518,69,0,0,5.0,0.149618320610687,0.1581632653061224
3,1.0,1140,5500,1.5,0,0,4,6,1140,0,1908,0,98199,47.6606,-122.395,1690,4400,118,0,0,4.0,0.2072727272727272,0.0
3,2.25,1920,11500,1.0,0,0,3,8,1920,0,1972,2000,98006,47.5498,-122.188,2260,8866,54,26,1,5.25,0.1669565217391304,0.0
4,3.0,3130,5700,1.5,0,0,3,7,1750,1380,1953,0,98115,47.6811,-122.283,2080,5700,73,0,0,7.0,0.5491228070175439,0.4408945686900958
3,1.75,1350,7370,1.0,0,0,4,6,1350,0,1912,0,98118,47.5336,-122.278,1440,6000,114,0,0,4.75,0.1831750339213025,0.0
3,2.25,1920,9672,2.0,0,0,4,8,1920,0,1984,0,98074,47.6233,-122.046,1950,10125,42,0,0,5.25,0.1985111662531017,0.0
3,2.0,1320,8568,1.0,0,0,3,7,1320,0,1993,0,98042,47.3904,-122.164,1600,8463,33,0,0,5.0,0.1540616246498599,0.0
3,1.0,1200,10080,1.0,0,0,4,7,1200,0,1969,0,98042,47.3261,-122.135,1230,9800,57,0,0,4.0,0.119047619047619,0.0
2,2.0,750,6553,1.5,0,2,3,7,750,0,1945,0,98178,47.4982,-122.221,1140,7500,81,0,0,4.0,0.1144513963070349,0.0
4,1.75,2700,7625,1.0,0,0,4,8,1450,1250,1937,0,98115,47.6838,-122.323,1760,3300,89,0,0,5.75,0.3540983606557377,0.4629629629629629
3,3.25,1460,1592,2.0,0,0,3,8,1130,330,2006,0,98126,47.5481,-122.374,1560,1701,20,0,0,6.25,0.9170854271356784,0.2260273972602739
3,1.75,2290,8234,1.0,0,0,4,7,1250,1040,1950,0,98133,47.7611,-122.351,1660,7200,76,0,0,4.75,0.2781151323779451,0.4541484716157205
3,2.5,1730,4286,2.0,0,0,3,7,1730,0,1999,0,98148,47.432,-122.329,1780,4343,27,0,0,5.5,0.40363975734951,0.0
4,2.0,1870,8750,1.0,0,2,3,7,1870,0,1977,0,98022,47.1985,-122.001,1770,8207,49,0,0,6.0,0.2137142857142857,0.0
4,2.0,1850,9126,1.0,0,0,5,7,1850,0,1963,0,98059,47.5009,-122.164,1730,9110,63,0,0,6.0,0.2027175104098181,0.0
3,3.0,2470,36445,2.0,0,0,4,8,2470,0,1980,0,98027,47.4661,-121.997,2310,35350,46,0,0,6.0,0.0677733571134586,0.0
3,1.75,2180,9220,1.0,0,0,4,7,1090,1090,1938,0,98001,47.3547,-122.285,2050,22400,88,0,0,4.75,0.2364425162689804,0.5
5,2.75,2600,8160,2.0,0,0,3,8,2600,0,2015,0,98133,47.7348,-122.34,1600,8160,11,0,0,7.75,0.3186274509803921,0.0
3,1.75,1070,8030,1.0,0,0,3,7,1070,0,1966,2014,98052,47.67,-122.155,1540,7875,60,12,1,4.75,0.1332503113325031,0.0
2,1.0,1070,5280,1.0,0,0,3,6,1070,0,1900,0,98122,47.6168,-122.303,1380,2370,126,0,0,3.0,0.2026515151515151,0.0
1,1.0,570,4080,1.0,0,0,3,5,570,0,1942,0,98146,47.5098,-122.334,890,5100,84,0,0,2.0,0.1397058823529411,0.0
5,2.25,2520,49222,2.0,0,0,4,8,2520,0,1978,0,98027,47.4918,-122.064,2780,55321,48,0,0,7.25,0.0511966193978302,0.0
4,2.5,2520,13156,1.0,0,0,3,8,1520,1000,1979,0,98052,47.6558,-122.135,2050,10940,47,0,0,6.5,0.1915475828519307,0.3968253968253968
3,2.75,1050,7200,1.0,0,0,3,7,1050,0,1985,0,98125,47.7163,-122.303,1860,9000,41,0,0,5.75,0.1458333333333333,0.0
4,1.0,1120,3844,1.0,0,0,3,7,1120,0,1972,0,98133,47.7038,-122.352,1480,3844,54,0,0,5.0,0.291363163371488,0.0
4,2.0,1760,7800,1.0,0,0,3,8,1760,0,1954,0,98117,47.6945,-122.38,1950,7800,72,0,0,6.0,0.2256410256410256,0.0
3,2.5,2230,4000,2.0,0,0,3,7,2230,0,1954,0,98144,47.5801,-122.306,1310,4000,72,0,0,5.5,0.5575,0.0
4,2.5,2550,6382,2.0,0,0,3,7,2550,0,2007,0,98065,47.5202,-121.87,2430,5900,19,0,0,6.5,0.399561266060796,0.0
3,1.0,1280,10500,1.5,0,0,4,5,1280,0,1941,0,98024,47.566,-121.894,1410,10500,85,0,0,4.0,0.1219047619047619,0.0
3,2.5,1490,4078,2.0,0,0,3,8,1490,0,1998,0,98059,47.4915,-122.155,1310,2767,28,0,0,5.5,0.3653751839136832,0.0
3,1.75,1300,7800,1.0,0,0,5,7,1300,0,1968,0,98034,47.7321,-122.195,1520,7344,58,0,0,4.75,0.1666666666666666,0.0
4,2.0,1790,61419,2.0,0,2,2,7,1790,0,1988,0,98019,47.7216,-121.907,1790,62290,38,0,0,6.0,0.0291440759374135,0.0
3,1.0,1320,7076,1.0,0,0,4,7,1320,0,1959,0,98008,47.6131,-122.123,1510,9000,67,0,0,4.0,0.1865460712266817,0.0
3,1.0,1240,8840,1.0,0,0,3,6,1240,0,1952,0,98125,47.7277,-122.308,1250,8840,74,0,0,4.0,0.1402714932126696,0.0
3,1.0,1160,6132,1.0,0,0,4,7,1160,0,1958,0,98056,47.5015,-122.173,1280,6132,68,0,0,4.0,0.1891715590345727,0.0
4,2.5,2310,5573,2.0,0,0,4,9,2310,0,2003,0,98056,47.5197,-122.2,2310,6189,23,0,0,6.5,0.414498474789162,0.0
3,2.5,1860,11122,2.0,0,0,3,8,1860,0,1994,0,98059,47.5062,-122.151,2420,8542,32,0,0,5.5,0.1672361086135587,0.0
4,2.5,2320,11259,2.0,0,0,3,9,2320,0,1982,0,98004,47.6443,-122.194,2820,11770,44,0,0,6.5,0.2060573763211653,0.0
4,2.5,2900,18303,2.0,0,0,4,10,2900,0,1994,0,98075,47.5981,-122.03,2900,18303,32,0,0,6.5,0.1584439709337267,0.0
3,2.5,1740,3690,2.0,0,0,3,8,1740,0,2000,0,98065,47.5345,-121.867,2100,4944,26,0,0,5.5,0.4715447154471545,0.0
3,2.5,1480,4729,2.0,0,0,3,7,1480,0,2004,0,98053,47.6794,-122.034,2250,4729,22,0,0,5.5,0.3129625713681539,0.0
4,3.5,3080,4945,2.0,0,0,3,9,2010,1070,2014,0,98126,47.5662,-122.379,1220,4945,12,0,0,7.5,0.6228513650151668,0.3474025974025974
3,2.5,3080,8448,2.0,0,2,3,9,3080,0,2000,0,98199,47.6469,-122.389,2500,6400,26,0,0,5.5,0.3645833333333333,0.0
3,2.5,1480,15639,2.0,0,0,3,8,1480,0,1987,0,98045,47.4723,-121.746,1480,16454,39,0,0,5.5,0.0946352068546582,0.0
2,1.75,1680,8367,1.0,0,0,3,6,840,840,1914,0,98115,47.6976,-122.288,1830,6720,112,0,0,3.75,0.2007888131946934,0.5
5,2.5,2990,9240,2.0,0,0,3,8,2990,0,2015,0,98133,47.7384,-122.348,1970,18110,11,0,0,7.5,0.3235930735930736,0.0
3,2.25,1130,1221,2.0,0,0,3,8,1030,100,2004,0,98117,47.6799,-122.375,1300,5000,22,0,0,5.25,0.9254709254709256,0.0884955752212389
2,1.75,1760,2275,1.5,0,0,3,6,1040,720,1912,0,98116,47.5803,-122.393,1380,3750,114,0,0,3.75,0.7736263736263737,0.4090909090909091
4,2.25,1990,7350,1.0,0,0,4,8,1180,810,1978,0,98003,47.3258,-122.328,2030,7210,48,0,0,6.25,0.2707482993197279,0.4070351758793969
4,2.5,1830,5175,2.0,0,0,3,7,1830,0,2003,0,98038,47.3565,-122.016,1830,5175,23,0,0,6.5,0.3536231884057971,0.0
4,2.5,2790,74495,2.0,0,0,3,9,2790,0,1997,0,98053,47.6628,-122.056,2790,24643,29,0,0,6.5,0.0374521779985233,0.0
3,1.0,1290,12005,1.0,0,0,4,7,1290,0,1966,0,98033,47.6835,-122.199,1930,8000,60,0,0,4.0,0.1074552269887546,0.0
4,2.5,2750,4800,2.0,0,0,3,9,1960,790,1905,2005,98103,47.6709,-122.337,2400,5300,121,21,1,6.5,0.5729166666666666,0.2872727272727273
3,3.25,1320,1327,2.0,0,0,3,8,1040,280,2008,0,98199,47.6506,-122.383,1440,1263,18,0,0,6.25,0.9947249434815372,0.2121212121212121
4,2.5,1820,3134,2.0,0,0,3,7,1820,0,1999,0,98019,47.7351,-121.985,1820,3751,27,0,0,6.5,0.5807275047862157,0.0
2,2.25,1570,1269,2.0,0,0,3,9,1280,290,2015,0,98199,47.6514,-122.385,1570,6000,11,0,0,4.25,1.2371946414499606,0.1847133757961783
4,2.5,2750,5767,2.0,0,0,3,9,2750,0,2005,0,98038,47.3595,-122.038,2800,5376,21,0,0,6.5,0.4768510490723079,0.0
3,1.0,1550,6840,1.5,0,0,3,7,1550,0,1918,0,98103,47.6572,-122.335,2370,4560,108,0,0,4.0,0.2266081871345029,0.0
4,1.75,1810,7480,1.0,0,0,3,7,1230,580,1977,0,98023,47.3275,-122.361,1870,9594,49,0,0,5.75,0.2419786096256684,0.3204419889502762
4,2.5,3020,8750,1.0,0,0,3,8,1710,1310,1960,0,98188,47.4298,-122.29,1900,8750,66,0,0,6.5,0.3451428571428571,0.4337748344370861
3,2.5,1900,8744,2.0,0,0,3,8,1900,0,1987,0,98074,47.62,-122.043,2030,8744,39,0,0,5.5,0.217291857273559,0.0
3,2.0,1150,700,2.0,0,0,3,7,800,350,2000,0,98136,47.5552,-122.381,1060,1910,26,0,0,5.0,1.6428571428571428,0.3043478260869565
3,1.75,2930,19876,1.0,0,0,3,9,2030,900,1993,0,98072,47.7443,-122.17,2740,11499,33,0,0,4.75,0.1474139665928758,0.3071672354948805
5,2.5,4150,96574,2.0,0,0,3,10,4150,0,1988,0,98053,47.6664,-122.045,3320,40803,38,0,0,7.5,0.0429722285501273,0.0
3,2.5,1520,8720,1.0,0,0,3,7,1080,440,1981,0,98058,47.4267,-122.157,1720,7551,45,0,0,5.5,0.1743119266055046,0.2894736842105263
2,1.0,810,8494,1.0,0,0,3,6,810,0,1949,0,98155,47.7389,-122.324,1050,7975,77,0,0,3.0,0.0953614315987756,0.0
3,2.5,1870,1058,3.0,0,0,3,8,1380,490,2007,0,98103,47.6512,-122.345,1440,1136,19,0,0,5.5,1.7674858223062382,0.2620320855614973
4,2.25,2460,8001,2.0,0,0,4,8,2460,0,1984,0,98006,47.548,-122.154,2460,9126,42,0,0,6.25,0.3074615673040869,0.0
4,2.5,3260,5608,2.0,0,0,3,9,3260,0,2003,0,98029,47.5453,-121.995,3010,5608,23,0,0,6.5,0.5813124108416547,0.0
2,1.0,670,6300,1.0,0,0,5,6,670,0,1942,0,98126,47.5161,-122.374,760,6300,84,0,0,3.0,0.1063492063492063,0.0
2,1.5,1110,1189,3.0,0,0,3,8,1110,0,2000,0,98107,47.6711,-122.377,1420,1311,26,0,0,3.5,0.9335576114381834,0.0
4,2.5,2720,10000,2.0,0,0,3,10,2720,0,1987,0,98074,47.6293,-122.051,2720,10020,39,0,0,6.5,0.272,0.0
2,1.0,1390,11340,1.0,0,0,4,7,1390,0,1969,0,98168,47.4969,-122.3,1200,10224,57,0,0,3.0,0.1225749559082892,0.0
5,4.0,3600,14720,1.0,0,2,5,8,1800,1800,1960,0,98034,47.7022,-122.227,3600,15358,66,0,0,9.0,0.2445652173913043,0.5
4,2.5,3440,56192,2.0,0,0,3,9,3440,0,1994,0,98053,47.6969,-122.046,3150,44431,32,0,0,6.5,0.0612186788154897,0.0
4,2.5,3150,5886,2.0,0,0,3,8,3150,0,2014,0,98059,47.4787,-122.122,2650,5886,12,0,0,6.5,0.5351681957186545,0.0
6,3.75,2930,14980,2.0,0,3,3,9,2930,0,2013,0,98006,47.5441,-122.117,3210,10787,13,0,0,9.75,0.1955941255006675,0.0
3,2.0,1430,9250,1.0,0,0,4,8,990,440,1983,0,98052,47.6952,-122.096,1830,8003,43,0,0,5.0,0.1545945945945946,0.3076923076923077
3,2.0,1108,1128,3.0,0,0,3,7,1108,0,2009,0,98115,47.6961,-122.318,1285,1253,17,0,0,5.0,0.9822695035460992,0.0
1,1.0,710,4000,1.0,0,0,4,6,610,100,1928,0,98103,47.6562,-122.354,1440,4500,98,0,0,2.0,0.1775,0.1408450704225352
4,3.0,3080,10757,2.0,0,3,5,8,3080,0,1961,0,98006,47.5671,-122.159,2810,10757,65,0,0,7.0,0.2863251836013758,0.0
3,1.75,1570,7775,2.0,0,0,3,7,1570,0,1982,0,98031,47.3876,-122.216,1580,8622,44,0,0,4.75,0.2019292604501607,0.0
4,2.0,1700,8043,1.0,0,0,3,7,850,850,1954,0,98168,47.4758,-122.288,1540,13260,72,0,0,6.0,0.2113639189357205,0.5
2,2.5,1090,923,2.0,0,0,3,7,1090,0,2004,0,98027,47.5347,-122.071,1410,1326,22,0,0,4.5,1.180931744312026,0.0
4,2.25,2600,9900,1.0,0,0,3,7,1600,1000,1965,0,98178,47.4881,-122.237,1770,11250,61,0,0,6.25,0.2626262626262626,0.3846153846153846
3,1.75,1630,7480,1.0,0,0,3,7,1330,300,1979,0,98058,47.4514,-122.159,1940,7480,47,0,0,4.75,0.2179144385026738,0.1840490797546012
3,1.0,840,8400,1.0,0,0,3,6,840,0,1959,0,98023,47.3277,-122.343,840,9450,67,0,0,4.0,0.1,0.0
4,2.5,2650,7945,2.0,0,0,3,9,2650,0,2006,0,98125,47.7113,-122.296,1200,7920,20,0,0,6.5,0.3335431088735053,0.0
3,1.0,920,5546,1.0,0,0,2,6,920,0,1928,0,98125,47.7114,-122.284,1300,5546,98,0,0,4.0,0.1658853227551388,0.0
3,1.75,1730,6130,1.0,0,0,3,7,1480,250,1941,0,98115,47.6978,-122.316,1730,6131,85,0,0,4.75,0.2822185970636215,0.1445086705202312
3,1.75,1260,7373,1.0,0,0,4,7,1260,0,1979,0,98034,47.7296,-122.233,1360,7373,47,0,0,4.75,0.170893801708938,0.0
3,2.5,2420,10733,2.0,0,0,3,8,2420,0,1996,0,98038,47.3835,-122.035,1950,8534,30,0,0,5.5,0.2254728407714525,0.0
4,2.5,2641,8615,2.0,0,0,3,7,2641,0,1998,0,98031,47.4038,-122.213,2641,8091,28,0,0,6.5,0.3065583284968079,0.0
4,2.5,2990,16809,2.0,0,0,3,11,2990,0,1990,0,98077,47.7123,-122.073,3340,18752,36,0,0,6.5,0.1778808971384377,0.0
3,2.5,1730,4924,2.0,0,0,3,8,1730,0,1996,0,98029,47.5672,-122.005,1610,4313,30,0,0,5.5,0.351340373679935,0.0
2,1.0,910,9000,1.0,0,0,3,5,910,0,1923,0,98065,47.526,-121.81,1290,9000,103,0,0,3.0,0.1011111111111111,0.0
3,1.0,1650,6400,1.0,0,0,4,7,980,670,1954,0,98106,47.52,-122.365,1230,6400,72,0,0,4.0,0.2578125,0.406060606060606
3,2.75,3530,69834,2.0,0,0,3,10,3530,0,1994,0,98053,47.6377,-121.995,3560,74256,32,0,0,5.75,0.0505484434516138,0.0
3,2.25,1960,1985,2.0,0,0,3,7,1750,210,2003,0,98118,47.5419,-122.289,1760,1985,23,0,0,5.25,0.9874055415617128,0.1071428571428571
3,1.0,960,5512,1.0,0,0,4,6,960,0,1963,0,98056,47.4944,-122.165,1090,5837,63,0,0,4.0,0.1741654571843251,0.0
3,3.0,1490,2944,2.0,0,0,3,7,960,530,1993,0,98199,47.6506,-122.384,1590,1600,33,0,0,6.0,0.5061141304347826,0.3557046979865771
4,2.5,1780,4169,2.0,0,0,3,8,1780,0,1994,0,98029,47.5695,-122.006,1830,4164,32,0,0,6.5,0.4269609018949388,0.0
1,1.0,1020,7920,1.0,0,0,3,7,1020,0,1947,1983,98106,47.5385,-122.355,1000,7168,79,43,1,2.0,0.1287878787878787,0.0
3,2.75,2500,6350,2.0,0,0,5,9,2370,130,1979,0,98122,47.6035,-122.285,2090,5454,47,0,0,5.75,0.3937007874015748,0.052
4,1.75,1460,9750,1.0,0,0,4,7,1460,0,1967,0,98008,47.6205,-122.102,1820,9840,59,0,0,5.75,0.1497435897435897,0.0
3,2.0,2010,33090,1.5,0,2,5,8,2010,0,1986,0,98022,47.2133,-122.007,1840,22620,40,0,0,5.0,0.0607434270172257,0.0
2,1.75,1310,10200,1.0,0,0,4,6,1310,0,1947,0,98065,47.5231,-121.82,1500,7200,79,0,0,3.75,0.1284313725490196,0.0
3,2.5,1780,2778,2.0,0,0,3,8,1530,250,2007,0,98126,47.5487,-122.372,1380,1998,19,0,0,5.5,0.640748740100792,0.1404494382022472
